Date,Location,Crop_Type,Growth_Stage,Pest_Management,Planting_Season
2023-03-08,California,Soybeans,Fruiting,Cultural Control,Spring
2023-03-09,California,Cotton,Flowering,Chemical Control,Spring
2023-03-10,California,Soybeans,Flowering,Biological Control,Spring
2023-03-11,California,Soybeans,Seedling,Chemical Control,Spring
2023-03-12,California,Corn,Vegetative,Chemical Control,Spring
2023-03-13,California,Corn,Mature,Chemical Control,Spring
2023-03-14,California,Soybeans,Flowering,No Control,Spring
2023-03-15,California,Corn,Fruiting,Chemical Control,Spring
2023-03-16,California,Soybeans,Vegetative,Biological Control,Spring
2023-03-17,California,Corn,Fruiting,Chemical Control,Spring
2023-03-18,California,Soybeans,Seedling,Biological Control,Spring
2023-03-19,California,Soybeans,Vegetative,Cultural Control,Spring
2023-03-20,California,Wheat,Fruiting,Cultural Control,Spring
2023-03-21,California,Soybeans,Flowering,Biological Control,Spring
2023-03-22,California,Cotton,Vegetative,No Control,Spring
2023-03-23,California,Cotton,Mature,Cultural Control,Spring
2023-03-24,California,Wheat,Mature,Biological Control,Spring
2023-03-25,California,Cotton,Mature,Biological Control,Spring
2023-03-26,California,Soybeans,Seedling,Chemical Control,Spring
2023-03-27,California,Wheat,Vegetative,Chemical Control,Spring
2023-03-28,California,Wheat,Mature,Biological Control,Spring
2023-03-29,California,Rice,Seedling,No Control,Spring
2023-03-30,California,Corn,Fruiting,No Control,Spring
2023-03-31,California,Cotton,Flowering,No Control,Spring
2023-04-01,California,Corn,Mature,Chemical Control,Spring
2023-04-02,California,Rice,Mature,Biological Control,Spring
2023-04-03,California,Rice,Mature,Chemical Control,Spring
2023-04-04,California,Wheat,Seedling,No Control,Spring
2023-04-05,California,Rice,Seedling,Biological Control,Spring
2023-04-06,California,Corn,Mature,No Control,Spring
2023-04-07,California,Soybeans,Fruiting,No Control,Spring
2023-04-08,California,Wheat,Mature,Chemical Control,Spring
2023-04-09,California,Soybeans,Fruiting,No Control,Spring
2023-04-10,California,Soybeans,Flowering,Cultural Control,Spring
2023-04-11,California,Corn,Seedling,Chemical Control,Spring
2023-04-12,California,Soybeans,Vegetative,Cultural Control,Spring
2023-04-13,California,Wheat,Mature,Chemical Control,Spring
2023-04-14,California,Rice,Flowering,Biological Control,Spring
2023-04-15,California,Soybeans,Flowering,Cultural Control,Spring
2023-04-16,California,Cotton,Vegetative,Biological Control,Spring
2023-04-17,California,Rice,Flowering,Cultural Control,Spring
2023-04-18,California,Corn,Mature,No Control,Spring
2023-04-19,California,Corn,Seedling,Cultural Control,Spring
2023-04-20,California,Rice,Vegetative,Cultural Control,Spring
2023-04-21,California,Soybeans,Seedling,No Control,Spring
2023-04-22,California,Soybeans,Seedling,Cultural Control,Spring
2023-04-23,California,Corn,Vegetative,No Control,Spring
2023-04-24,California,Soybeans,Mature,Chemical Control,Spring
2023-04-25,California,Rice,Seedling,Biological Control,Spring
2023-04-26,California,Soybeans,Flowering,Biological Control,Spring
2023-04-27,California,Wheat,Mature,Cultural Control,Spring
2023-04-28,California,Cotton,Fruiting,No Control,Spring
2023-04-29,California,Wheat,Vegetative,Biological Control,Spring
2023-04-30,California,Cotton,Seedling,Cultural Control,Spring
2023-05-01,California,Cotton,Mature,Cultural Control,Spring
2023-05-02,California,Wheat,Flowering,Biological Control,Spring
2023-05-03,California,Wheat,Seedling,Cultural Control,Spring
2023-05-04,California,Corn,Mature,Cultural Control,Spring
2023-05-05,California,Soybeans,Vegetative,Biological Control,Spring
2023-05-06,California,Soybeans,Seedling,No Control,Spring
2023-05-07,California,Soybeans,Fruiting,Cultural Control,Spring
2023-05-08,California,Soybeans,Fruiting,Cultural Control,Spring
2023-05-09,California,Cotton,Fruiting,Biological Control,Spring
2023-05-10,California,Rice,Seedling,Chemical Control,Spring
2023-05-11,California,Wheat,Vegetative,Cultural Control,Spring
2023-05-12,California,Cotton,Vegetative,Biological Control,Spring
2023-05-13,California,Corn,Seedling,Chemical Control,Spring
2023-05-14,California,Soybeans,Mature,No Control,Spring
2023-05-15,California,Cotton,Vegetative,No Control,Spring
2023-05-16,California,Wheat,Mature,Cultural Control,Spring
2023-05-17,California,Corn,Flowering,Cultural Control,Spring
2023-05-18,California,Cotton,Flowering,Cultural Control,Spring
2023-05-19,California,Rice,Vegetative,No Control,Spring
2023-05-20,California,Rice,Fruiting,Chemical Control,Spring
2023-05-21,California,Cotton,Flowering,Chemical Control,Spring
2023-05-22,California,Corn,Flowering,Chemical Control,Spring
2023-05-23,California,Corn,Seedling,No Control,Spring
2023-05-24,California,Cotton,Vegetative,Chemical Control,Spring
2023-05-25,California,Cotton,Vegetative,Chemical Control,Spring
2023-05-26,California,Corn,Fruiting,Cultural Control,Spring
2023-05-27,California,Corn,Fruiting,No Control,Spring
2023-05-28,California,Corn,Flowering,Biological Control,Spring
2023-05-29,California,Soybeans,Vegetative,Cultural Control,Spring
2023-05-30,California,Cotton,Fruiting,Cultural Control,Spring
2023-05-31,California,Rice,Fruiting,No Control,Spring
2023-06-01,California,Wheat,Mature,Biological Control,Summer
2023-06-02,California,Cotton,Flowering,Chemical Control,Summer
2023-06-03,California,Cotton,Seedling,Biological Control,Summer
2023-06-04,California,Corn,Flowering,Chemical Control,Summer
2023-06-05,California,Corn,Seedling,Chemical Control,Summer
2023-06-06,California,Rice,Seedling,Biological Control,Summer
2023-06-07,California,Corn,Vegetative,Chemical Control,Summer
2023-06-08,California,Cotton,Fruiting,Cultural Control,Summer
2023-06-09,California,Rice,Mature,No Control,Summer
2023-06-10,California,Cotton,Seedling,Chemical Control,Summer
2023-06-11,California,Soybeans,Seedling,No Control,Summer
2023-06-12,California,Corn,Vegetative,Chemical Control,Summer
2023-06-13,California,Rice,Mature,No Control,Summer
2023-06-14,California,Wheat,Fruiting,No Control,Summer
2023-06-15,California,Rice,Fruiting,Cultural Control,Summer
2023-06-16,California,Soybeans,Vegetative,Cultural Control,Summer
2023-06-17,California,Cotton,Mature,Biological Control,Summer
2023-06-18,California,Soybeans,Flowering,Biological Control,Summer
2023-06-19,California,Wheat,Seedling,Cultural Control,Summer
2023-06-20,California,Corn,Seedling,No Control,Summer
2023-06-21,California,Rice,Seedling,Chemical Control,Summer
2023-06-22,California,Corn,Fruiting,No Control,Summer
2023-06-23,California,Soybeans,Flowering,No Control,Summer
2023-06-24,California,Rice,Mature,No Control,Summer
2023-06-25,California,Rice,Mature,Biological Control,Summer
2023-06-26,California,Corn,Vegetative,Cultural Control,Summer
2023-06-27,California,Corn,Mature,Biological Control,Summer
2023-06-28,California,Rice,Fruiting,Chemical Control,Summer
2023-06-29,California,Rice,Seedling,Biological Control,Summer
2023-06-30,California,Cotton,Seedling,No Control,Summer
2023-07-01,California,Corn,Seedling,Chemical Control,Summer
2023-07-02,California,Cotton,Seedling,Biological Control,Summer
2023-07-03,California,Soybeans,Fruiting,Chemical Control,Summer
2023-07-04,California,Wheat,Fruiting,Biological Control,Summer
2023-07-05,California,Cotton,Fruiting,Cultural Control,Summer
2023-07-06,California,Cotton,Flowering,Biological Control,Summer
2023-07-07,California,Corn,Flowering,Biological Control,Summer
2023-07-08,California,Cotton,Flowering,Biological Control,Summer
2023-07-09,California,Cotton,Flowering,Cultural Control,Summer
2023-07-10,California,Wheat,Seedling,Biological Control,Summer
2023-07-11,California,Soybeans,Mature,Biological Control,Summer
2023-07-12,California,Corn,Flowering,No Control,Summer
2023-07-13,California,Cotton,Vegetative,No Control,Summer
2023-07-14,California,Soybeans,Fruiting,Chemical Control,Summer
2023-07-15,California,Cotton,Fruiting,Cultural Control,Summer
2023-07-16,California,Cotton,Seedling,Biological Control,Summer
2023-07-17,California,Wheat,Seedling,No Control,Summer
2023-07-18,California,Soybeans,Mature,Biological Control,Summer
2023-07-19,California,Cotton,Mature,Cultural Control,Summer
2023-07-20,California,Rice,Fruiting,Chemical Control,Summer
2023-07-21,California,Cotton,Vegetative,No Control,Summer
2023-07-22,California,Corn,Vegetative,Biological Control,Summer
2023-07-23,California,Corn,Fruiting,No Control,Summer
2023-07-24,California,Wheat,Seedling,Cultural Control,Summer
2023-07-25,California,Corn,Mature,Cultural Control,Summer
2023-07-26,California,Wheat,Vegetative,Biological Control,Summer
2023-07-27,California,Wheat,Seedling,Chemical Control,Summer
2023-07-28,California,Soybeans,Flowering,Biological Control,Summer
2023-07-29,California,Soybeans,Flowering,Chemical Control,Summer
2023-07-30,California,Wheat,Seedling,Biological Control,Summer
2023-07-31,California,Corn,Flowering,Cultural Control,Summer
2023-08-01,California,Rice,Vegetative,No Control,Summer
2023-08-02,California,Rice,Mature,Chemical Control,Summer
2023-08-03,California,Rice,Seedling,No Control,Summer
2023-08-04,California,Rice,Vegetative,Cultural Control,Summer
2023-08-05,California,Rice,Seedling,Biological Control,Summer
2023-08-06,California,Corn,Fruiting,No Control,Summer
2023-08-07,California,Corn,Fruiting,Chemical Control,Summer
2023-08-08,California,Corn,Vegetative,No Control,Summer
2023-08-09,California,Cotton,Mature,Cultural Control,Summer
2023-08-10,California,Corn,Fruiting,Cultural Control,Summer
2023-08-11,California,Soybeans,Flowering,Cultural Control,Summer
2023-08-12,California,Soybeans,Vegetative,Biological Control,Summer
2023-08-13,California,Wheat,Seedling,No Control,Summer
2023-08-14,California,Rice,Mature,Biological Control,Summer
2023-08-15,California,Corn,Flowering,No Control,Summer
2023-08-16,California,Soybeans,Mature,Biological Control,Summer
2023-08-17,California,Cotton,Seedling,Cultural Control,Summer
2023-08-18,California,Soybeans,Mature,Biological Control,Summer
2023-08-19,California,Corn,Seedling,Cultural Control,Summer
2023-08-20,California,Soybeans,Fruiting,Biological Control,Summer
2023-08-21,California,Wheat,Fruiting,Cultural Control,Summer
2023-08-22,California,Soybeans,Mature,Cultural Control,Summer
2023-08-23,California,Cotton,Seedling,Cultural Control,Summer
2023-08-24,California,Rice,Seedling,No Control,Summer
2023-08-25,California,Rice,Flowering,Cultural Control,Summer
2023-08-26,California,Cotton,Vegetative,Biological Control,Summer
2023-08-27,California,Soybeans,Flowering,Biological Control,Summer
2023-08-28,California,Soybeans,Mature,Biological Control,Summer
2023-08-29,California,Cotton,Mature,Biological Control,Summer
2023-08-30,California,Cotton,Vegetative,Cultural Control,Summer
2023-08-31,California,Cotton,Seedling,Cultural Control,Summer
2023-09-01,California,Corn,Flowering,Biological Control,Fall
2023-09-02,California,Corn,Flowering,Biological Control,Fall
2023-09-03,California,Corn,Seedling,Cultural Control,Fall
2023-09-04,California,Wheat,Fruiting,Cultural Control,Fall
2023-09-05,California,Rice,Mature,Cultural Control,Fall
2023-09-06,California,Rice,Mature,Chemical Control,Fall
2023-09-07,California,Rice,Mature,Chemical Control,Fall
2023-09-08,California,Corn,Flowering,Biological Control,Fall
2023-09-09,California,Cotton,Fruiting,Chemical Control,Fall
2023-09-10,California,Soybeans,Flowering,Cultural Control,Fall
2023-09-11,California,Cotton,Fruiting,Biological Control,Fall
2023-09-12,California,Soybeans,Seedling,Chemical Control,Fall
2023-09-13,California,Wheat,Seedling,No Control,Fall
2023-09-14,California,Rice,Fruiting,Biological Control,Fall
2023-09-15,California,Cotton,Flowering,No Control,Fall
2023-09-16,California,Wheat,Fruiting,Cultural Control,Fall
2023-09-17,California,Rice,Mature,Chemical Control,Fall
2023-09-18,California,Rice,Vegetative,Cultural Control,Fall
2023-09-19,California,Cotton,Fruiting,Cultural Control,Fall
2023-09-20,California,Soybeans,Fruiting,No Control,Fall
2023-09-21,California,Wheat,Fruiting,Biological Control,Fall
2023-09-22,California,Soybeans,Seedling,Biological Control,Fall
2023-09-23,California,Corn,Vegetative,Chemical Control,Fall
2023-09-24,California,Rice,Vegetative,No Control,Fall
2023-09-25,California,Corn,Mature,Chemical Control,Fall
2023-09-26,California,Corn,Mature,Biological Control,Fall
2023-09-27,California,Soybeans,Mature,Chemical Control,Fall
2023-09-28,California,Cotton,Vegetative,Chemical Control,Fall
2023-09-29,California,Soybeans,Flowering,Cultural Control,Fall
2023-09-30,California,Corn,Mature,No Control,Fall
2023-10-01,California,Rice,Mature,No Control,Fall
2023-10-02,California,Soybeans,Mature,Cultural Control,Fall
2023-10-03,California,Cotton,Mature,Biological Control,Fall
2023-10-04,California,Soybeans,Fruiting,Chemical Control,Fall
2023-10-05,California,Corn,Fruiting,Biological Control,Fall
2023-10-06,California,Soybeans,Fruiting,Biological Control,Fall
2023-10-07,California,Soybeans,Flowering,No Control,Fall
2023-10-08,California,Corn,Flowering,Cultural Control,Fall
2023-10-09,California,Cotton,Seedling,Cultural Control,Fall
2023-10-10,California,Soybeans,Fruiting,Cultural Control,Fall
2023-10-11,California,Corn,Vegetative,Biological Control,Fall
2023-10-12,California,Cotton,Fruiting,Cultural Control,Fall
2023-10-13,California,Rice,Fruiting,Cultural Control,Fall
2023-10-14,California,Rice,Fruiting,Cultural Control,Fall
2023-10-15,California,Wheat,Seedling,Cultural Control,Fall
2023-10-16,California,Soybeans,Vegetative,No Control,Fall
2023-10-17,California,Cotton,Fruiting,Cultural Control,Fall
2023-10-18,California,Rice,Vegetative,Biological Control,Fall
2023-10-19,California,Corn,Flowering,Chemical Control,Fall
2023-10-20,California,Wheat,Seedling,No Control,Fall
2023-10-21,California,Cotton,Seedling,Biological Control,Fall
2023-10-22,California,Wheat,Vegetative,Chemical Control,Fall
2023-10-23,California,Wheat,Flowering,No Control,Fall
2023-10-24,California,Rice,Flowering,Cultural Control,Fall
2023-10-25,California,Soybeans,Fruiting,Chemical Control,Fall
2023-10-26,California,Cotton,Flowering,No Control,Fall
2023-10-27,California,Rice,Mature,Biological Control,Fall
2023-10-28,California,Corn,Mature,Biological Control,Fall
2023-10-29,California,Wheat,Fruiting,Cultural Control,Fall
2023-10-30,California,Rice,Mature,Biological Control,Fall
2023-10-31,California,Soybeans,Flowering,No Control,Fall
2023-11-01,California,Wheat,Seedling,Chemical Control,Fall
2023-11-02,California,Wheat,Vegetative,Chemical Control,Fall
2023-11-03,California,Cotton,Mature,No Control,Fall
2023-11-04,California,Rice,Fruiting,Cultural Control,Fall
2023-11-05,California,Cotton,Mature,No Control,Fall
2023-11-06,California,Wheat,Mature,Cultural Control,Fall
2023-11-07,California,Soybeans,Vegetative,Cultural Control,Fall
2023-11-08,California,Rice,Fruiting,Chemical Control,Fall
2023-11-09,California,Soybeans,Flowering,No Control,Fall
2023-11-10,California,Cotton,Seedling,Cultural Control,Fall
2023-11-11,California,Corn,Vegetative,Cultural Control,Fall
2023-11-12,California,Corn,Flowering,Chemical Control,Fall
2023-11-13,California,Rice,Seedling,Biological Control,Fall
2023-11-14,California,Soybeans,Vegetative,No Control,Fall
2023-11-15,California,Wheat,Vegetative,Biological Control,Fall
2023-11-16,California,Cotton,Vegetative,Biological Control,Fall
2023-11-17,California,Cotton,Flowering,Cultural Control,Fall
2023-11-18,California,Soybeans,Mature,Chemical Control,Fall
2023-11-19,California,Wheat,Flowering,No Control,Fall
2023-11-20,California,Soybeans,Flowering,Biological Control,Fall
2023-11-21,California,Wheat,Vegetative,No Control,Fall
2023-11-22,California,Wheat,Seedling,No Control,Fall
2023-11-23,California,Corn,Vegetative,Biological Control,Fall
2023-11-24,California,Cotton,Seedling,Cultural Control,Fall
2023-11-25,California,Cotton,Mature,No Control,Fall
2023-11-26,California,Wheat,Vegetative,Biological Control,Fall
2023-11-27,California,Soybeans,Mature,Cultural Control,Fall
2023-11-28,California,Soybeans,Fruiting,No Control,Fall
2023-11-29,California,Soybeans,Mature,Biological Control,Fall
2023-11-30,California,Wheat,Flowering,Biological Control,Fall
2023-12-01,California,Soybeans,Vegetative,Cultural Control,Winter
2023-12-02,California,Soybeans,Flowering,Biological Control,Winter
2023-12-03,California,Wheat,Fruiting,Biological Control,Winter
2023-12-04,California,Corn,Vegetative,No Control,Winter
2023-12-05,California,Corn,Seedling,Cultural Control,Winter
2023-12-06,California,Cotton,Seedling,Biological Control,Winter
2023-12-07,California,Rice,Flowering,Cultural Control,Winter
2023-12-08,California,Wheat,Vegetative,No Control,Winter
2023-12-09,California,Corn,Mature,Biological Control,Winter
2023-12-10,California,Wheat,Seedling,Biological Control,Winter
2023-12-11,California,Rice,Mature,Chemical Control,Winter
2023-12-12,California,Soybeans,Seedling,Biological Control,Winter
2023-12-13,California,Rice,Fruiting,Cultural Control,Winter
2023-12-14,California,Cotton,Mature,Biological Control,Winter
2023-12-15,California,Cotton,Flowering,Biological Control,Winter
2023-12-16,California,Wheat,Seedling,Biological Control,Winter
2023-12-17,California,Cotton,Flowering,Biological Control,Winter
2023-12-18,California,Rice,Flowering,Cultural Control,Winter
2023-12-19,California,Rice,Flowering,Cultural Control,Winter
2023-12-20,California,Rice,Vegetative,Chemical Control,Winter
2023-12-21,California,Soybeans,Seedling,Cultural Control,Winter
2023-12-22,California,Corn,Fruiting,No Control,Winter
2023-12-23,California,Wheat,Mature,Chemical Control,Winter
2023-12-24,California,Rice,Fruiting,Biological Control,Winter
2023-12-25,California,Soybeans,Seedling,No Control,Winter
2023-12-26,California,Corn,Fruiting,Cultural Control,Winter
2023-12-27,California,Rice,Vegetative,No Control,Winter
2023-12-28,California,Rice,Mature,Cultural Control,Winter
2023-12-29,California,Rice,Fruiting,No Control,Winter
2023-12-30,California,Wheat,Mature,Cultural Control,Winter
2023-12-31,California,Corn,Vegetative,No Control,Winter
2023-01-01,Iowa,Rice,Fruiting,Biological Control,Winter
2023-01-02,Iowa,Rice,Flowering,Chemical Control,Winter
2023-01-03,Iowa,Wheat,Flowering,Chemical Control,Winter
2023-01-04,Iowa,Wheat,Mature,Cultural Control,Winter
2023-01-05,Iowa,Rice,Fruiting,Cultural Control,Winter
2023-01-06,Iowa,Wheat,Mature,Biological Control,Winter
2023-01-07,Iowa,Corn,Seedling,Biological Control,Winter
2023-01-08,Iowa,Corn,Flowering,Biological Control,Winter
2023-01-09,Iowa,Cotton,Flowering,Biological Control,Winter
2023-01-10,Iowa,Cotton,Fruiting,Chemical Control,Winter
2023-01-11,Iowa,Cotton,Flowering,Cultural Control,Winter
2023-01-12,Iowa,Wheat,Fruiting,Biological Control,Winter
2023-01-13,Iowa,Corn,Seedling,No Control,Winter
2023-01-14,Iowa,Cotton,Vegetative,Chemical Control,Winter
2023-01-15,Iowa,Wheat,Flowering,Biological Control,Winter
2023-01-16,Iowa,Cotton,Flowering,No Control,Winter
2023-01-17,Iowa,Cotton,Fruiting,Cultural Control,Winter
2023-01-18,Iowa,Rice,Seedling,Biological Control,Winter
2023-01-19,Iowa,Rice,Seedling,Cultural Control,Winter
2023-01-20,Iowa,Soybeans,Flowering,No Control,Winter
2023-01-21,Iowa,Wheat,Mature,Chemical Control,Winter
2023-01-22,Iowa,Corn,Mature,Chemical Control,Winter
2023-01-23,Iowa,Wheat,Fruiting,No Control,Winter
2023-01-24,Iowa,Soybeans,Fruiting,No Control,Winter
2023-01-25,Iowa,Wheat,Flowering,Biological Control,Winter
2023-01-26,Iowa,Wheat,Flowering,Biological Control,Winter
2023-01-27,Iowa,Wheat,Vegetative,No Control,Winter
2023-01-28,Iowa,Cotton,Seedling,No Control,Winter
2023-01-29,Iowa,Soybeans,Seedling,No Control,Winter
2023-01-30,Iowa,Corn,Vegetative,No Control,Winter
2023-01-31,Iowa,Wheat,Fruiting,Cultural Control,Winter
2023-02-01,Iowa,Rice,Fruiting,Biological Control,Winter
2023-02-02,Iowa,Rice,Fruiting,No Control,Winter
2023-02-03,Iowa,Corn,Seedling,No Control,Winter
2023-02-04,Iowa,Soybeans,Seedling,No Control,Winter
2023-02-05,Iowa,Corn,Flowering,Biological Control,Winter
2023-02-06,Iowa,Soybeans,Flowering,Chemical Control,Winter
2023-02-07,Iowa,Wheat,Seedling,No Control,Winter
2023-02-08,Iowa,Rice,Seedling,No Control,Winter
2023-02-09,Iowa,Rice,Fruiting,Cultural Control,Winter
2023-02-10,Iowa,Rice,Seedling,Biological Control,Winter
2023-02-11,Iowa,Corn,Flowering,No Control,Winter
2023-02-12,Iowa,Rice,Vegetative,No Control,Winter
2023-02-13,Iowa,Wheat,Flowering,Chemical Control,Winter
2023-02-14,Iowa,Soybeans,Flowering,No Control,Winter
2023-02-15,Iowa,Corn,Mature,Chemical Control,Winter
2023-02-16,Iowa,Soybeans,Flowering,Biological Control,Winter
2023-02-17,Iowa,Cotton,Vegetative,Cultural Control,Winter
2023-02-18,Iowa,Wheat,Seedling,Biological Control,Winter
2023-02-19,Iowa,Cotton,Vegetative,Chemical Control,Winter
2023-02-20,Iowa,Corn,Flowering,Biological Control,Winter
2023-02-21,Iowa,Rice,Mature,Biological Control,Winter
2023-02-22,Iowa,Soybeans,Mature,Cultural Control,Winter
2023-02-23,Iowa,Rice,Fruiting,No Control,Winter
2023-02-24,Iowa,Rice,Seedling,No Control,Winter
2023-02-25,Iowa,Wheat,Flowering,Biological Control,Winter
2023-02-26,Iowa,Rice,Fruiting,No Control,Winter
2023-02-27,Iowa,Wheat,Vegetative,Biological Control,Winter
2023-02-28,Iowa,Wheat,Flowering,Cultural Control,Winter
2023-03-01,Iowa,Wheat,Mature,Cultural Control,Spring
2023-03-02,Iowa,Wheat,Seedling,Cultural Control,Spring
2023-03-03,Iowa,Rice,Mature,Biological Control,Spring
2023-03-04,Iowa,Soybeans,Seedling,Biological Control,Spring
2023-03-05,Iowa,Corn,Mature,Cultural Control,Spring
2023-03-06,Iowa,Cotton,Flowering,Cultural Control,Spring
2023-03-07,Iowa,Cotton,Vegetative,Chemical Control,Spring
2023-03-08,Iowa,Wheat,Flowering,No Control,Spring
2023-03-09,Iowa,Soybeans,Flowering,Biological Control,Spring
2023-03-10,Iowa,Soybeans,Fruiting,No Control,Spring
2023-03-11,Iowa,Cotton,Vegetative,Cultural Control,Spring
2023-03-12,Iowa,Rice,Vegetative,Biological Control,Spring
2023-03-13,Iowa,Rice,Vegetative,Chemical Control,Spring
2023-03-14,Iowa,Rice,Fruiting,No Control,Spring
2023-03-15,Iowa,Corn,Fruiting,Biological Control,Spring
2023-03-16,Iowa,Soybeans,Vegetative,No Control,Spring
2023-03-17,Iowa,Soybeans,Flowering,Cultural Control,Spring
2023-03-18,Iowa,Rice,Seedling,Cultural Control,Spring
2023-03-19,Iowa,Corn,Mature,No Control,Spring
2023-03-20,Iowa,Corn,Mature,No Control,Spring
2023-03-21,Iowa,Soybeans,Vegetative,Cultural Control,Spring
2023-03-22,Iowa,Corn,Vegetative,No Control,Spring
2023-03-23,Iowa,Wheat,Seedling,Cultural Control,Spring
2023-03-24,Iowa,Soybeans,Mature,Biological Control,Spring
2023-03-25,Iowa,Corn,Fruiting,Chemical Control,Spring
2023-03-26,Iowa,Rice,Mature,No Control,Spring
2023-03-27,Iowa,Cotton,Fruiting,No Control,Spring
2023-03-28,Iowa,Rice,Vegetative,No Control,Spring
2023-03-29,Iowa,Corn,Flowering,Biological Control,Spring
2023-03-30,Iowa,Rice,Seedling,Biological Control,Spring
2023-03-31,Iowa,Soybeans,Fruiting,Chemical Control,Spring
2023-04-01,Iowa,Soybeans,Vegetative,No Control,Spring
2023-04-02,Iowa,Cotton,Seedling,Chemical Control,Spring
2023-04-03,Iowa,Cotton,Vegetative,Biological Control,Spring
2023-04-04,Iowa,Wheat,Fruiting,No Control,Spring
2023-04-05,Iowa,Rice,Vegetative,Chemical Control,Spring
2023-04-06,Iowa,Corn,Fruiting,No Control,Spring
2023-04-07,Iowa,Corn,Seedling,Biological Control,Spring
2023-04-08,Iowa,Wheat,Fruiting,Biological Control,Spring
2023-04-09,Iowa,Rice,Mature,Chemical Control,Spring
2023-04-10,Iowa,Rice,Seedling,Cultural Control,Spring
2023-04-11,Iowa,Wheat,Mature,Biological Control,Spring
2023-04-12,Iowa,Wheat,Fruiting,No Control,Spring
2023-04-13,Iowa,Soybeans,Mature,Cultural Control,Spring
2023-04-14,Iowa,Cotton,Seedling,Biological Control,Spring
