Date,Pest,Life_Cycle_Stage,Crop_Affected,State,Infestation_Level
2023-01-13,Corn Rootworm,Egg,Soybeans,Illinois,Low
2023-01-13,Corn Rootworm,Larva,Wheat,Illinois,Medium
2023-01-14,Armyworms,Larva,Corn,Iowa,Medium
2023-01-15,Aphids,Egg,Wheat,Nebraska,Low
2023-01-15,Japanese Beetle,Larva,Rice,Iowa,Medium
2023-01-15,Cutworms,Adult,Soybeans,Illinois,High
2023-01-16,Japanese Beetle,Adult,Wheat,Nebraska,Medium
2023-01-17,Japanese Beetle,Pupa,Cotton,Iowa,Low
2023-01-17,Aphids,Pupa,Cotton,Iowa,Medium
2023-01-17,Cutworms,Larva,Rice,California,Medium
2023-01-17,Cutworms,Pupa,Wheat,Texas,High
2023-01-19,Corn Rootworm,Adult,Cotton,Illinois,Low
2023-01-19,Armyworms,Pupa,Wheat,Texas,Medium
2023-01-19,Corn Rootworm,Adult,Rice,Nebraska,Low
2023-01-19,Cutworms,Egg,Wheat,Nebraska,Low
2023-01-19,Aphids,Larva,Wheat,Illinois,Low
2023-01-20,Corn Rootworm,Adult,Corn,California,High
2023-01-20,Japanese Beetle,Adult,Soybeans,Illinois,Low
2023-01-21,Japanese Beetle,Pupa,Wheat,California,High
2023-01-21,Armyworms,Larva,Rice,Texas,Low
2023-01-21,Aphids,Larva,Cotton,Texas,Medium
2023-01-22,Aphids,Larva,Corn,Nebraska,Low
2023-01-22,Aphids,Adult,Wheat,Illinois,High
2023-01-23,Armyworms,Pupa,Wheat,California,Medium
2023-01-23,Cutworms,Pupa,Cotton,Iowa,Medium
2023-01-23,Japanese Beetle,Pupa,Corn,Texas,High
2023-01-23,Aphids,Pupa,Cotton,Illinois,Medium
2023-01-24,Aphids,Adult,Rice,Texas,Medium
2023-01-25,Japanese Beetle,Adult,Rice,Illinois,High
2023-01-25,Cutworms,Adult,Cotton,Texas,High
2023-01-25,Corn Rootworm,Egg,Rice,Nebraska,High
2023-01-25,Japanese Beetle,Larva,Soybeans,Iowa,High
2023-01-26,Armyworms,Egg,Wheat,Texas,Medium
2023-01-26,Armyworms,Adult,Cotton,Illinois,Medium
2023-01-26,Armyworms,Larva,Cotton,Iowa,Medium
2023-01-27,Aphids,Larva,Wheat,Texas,Low
2023-01-27,Aphids,Larva,Rice,Nebraska,Medium
2023-01-27,Japanese Beetle,Adult,Soybeans,Texas,High
2023-01-27,Aphids,Egg,Rice,Texas,Medium
2023-01-27,Japanese Beetle,Larva,Rice,Illinois,Low
2023-01-27,Japanese Beetle,Larva,Cotton,Texas,Medium
2023-01-28,Aphids,Larva,Soybeans,Illinois,Low
2023-01-29,Japanese Beetle,Pupa,Wheat,Iowa,High
2023-01-30,Aphids,Egg,Wheat,California,Low
2023-01-30,Armyworms,Egg,Rice,Nebraska,Low
2023-01-31,Cutworms,Larva,Wheat,Texas,High
2023-01-31,Japanese Beetle,Pupa,Cotton,Texas,Low
2023-02-01,Corn Rootworm,Adult,Soybeans,Texas,Low
2023-02-01,Armyworms,Pupa,Wheat,Illinois,Medium
2023-02-02,Cutworms,Pupa,Cotton,Illinois,Low
2023-02-02,Aphids,Egg,Cotton,Iowa,Low
2023-02-02,Corn Rootworm,Pupa,Wheat,California,Low
2023-02-02,Cutworms,Egg,Cotton,Iowa,High
2023-02-03,Japanese Beetle,Pupa,Wheat,Nebraska,Low
2023-02-03,Aphids,Larva,Rice,Nebraska,Low
2023-02-03,Corn Rootworm,Egg,Soybeans,Iowa,Medium
2023-02-04,Armyworms,Egg,Cotton,Nebraska,High
2023-02-04,Aphids,Pupa,Rice,Illinois,Low
2023-02-04,Corn Rootworm,Pupa,Rice,Iowa,Medium
2023-02-04,Armyworms,Egg,Rice,Texas,High
2023-02-04,Armyworms,Adult,Corn,Iowa,High
2023-02-05,Japanese Beetle,Larva,Cotton,Iowa,Low
2023-02-05,Aphids,Pupa,Cotton,Illinois,High
2023-02-05,Corn Rootworm,Pupa,Corn,Nebraska,High
2023-02-06,Cutworms,Larva,Soybeans,Iowa,Medium
2023-02-07,Corn Rootworm,Egg,Corn,Nebraska,High
2023-02-07,Aphids,Egg,Corn,Nebraska,Low
2023-02-08,Aphids,Egg,Cotton,California,High
2023-02-08,Aphids,Egg,Wheat,California,Low
2023-02-08,Cutworms,Larva,Cotton,Texas,Low
2023-02-09,Corn Rootworm,Pupa,Cotton,Illinois,High
2023-02-09,Cutworms,Pupa,Soybeans,Texas,High
2023-02-09,Aphids,Larva,Cotton,California,Low
2023-02-09,Armyworms,Egg,Corn,California,Low
2023-02-09,Armyworms,Adult,Wheat,Texas,Low
2023-02-09,Cutworms,Pupa,Rice,California,High
2023-02-10,Corn Rootworm,Adult,Soybeans,Texas,Low
2023-02-10,Cutworms,Adult,Wheat,Illinois,Low
2023-02-11,Japanese Beetle,Adult,Soybeans,Texas,Low
2023-02-12,Corn Rootworm,Pupa,Corn,Iowa,Medium
2023-02-12,Cutworms,Egg,Corn,Illinois,Low
2023-02-12,Corn Rootworm,Egg,Soybeans,Nebraska,High
2023-02-12,Corn Rootworm,Egg,Wheat,Iowa,High
2023-02-13,Corn Rootworm,Egg,Wheat,Texas,High
2023-02-14,Aphids,Larva,Soybeans,Illinois,High
2023-02-14,Cutworms,Pupa,Soybeans,Iowa,High
2023-02-14,Japanese Beetle,Larva,Wheat,Texas,Medium
2023-02-14,Japanese Beetle,Adult,Cotton,Illinois,High
2023-02-15,Aphids,Larva,Soybeans,Nebraska,Low
2023-02-16,Cutworms,Egg,Soybeans,Iowa,High
2023-02-17,Cutworms,Adult,Soybeans,California,Medium
2023-02-17,Armyworms,Larva,Rice,Texas,Medium
2023-02-18,Cutworms,Pupa,Soybeans,California,Low
2023-02-18,Aphids,Pupa,Cotton,Texas,Low
2023-02-18,Armyworms,Egg,Cotton,Iowa,High
2023-02-19,Corn Rootworm,Pupa,Corn,Nebraska,Medium
2023-02-19,Japanese Beetle,Adult,Wheat,Texas,Medium
2023-02-20,Cutworms,Larva,Wheat,Illinois,High
2023-02-21,Japanese Beetle,Larva,Soybeans,Nebraska,High
2023-02-21,Cutworms,Larva,Corn,Illinois,Low
2023-02-21,Cutworms,Egg,Corn,California,Low
2023-02-21,Aphids,Adult,Corn,Iowa,Medium
2023-02-22,Cutworms,Larva,Soybeans,Illinois,Medium
2023-02-23,Armyworms,Adult,Wheat,Illinois,High
2023-02-24,Corn Rootworm,Egg,Corn,Nebraska,High
2023-02-25,Cutworms,Egg,Soybeans,Iowa,High
2023-02-26,Cutworms,Larva,Wheat,Nebraska,Low
2023-02-26,Japanese Beetle,Adult,Wheat,Illinois,Medium
2023-02-27,Corn Rootworm,Adult,Soybeans,Iowa,High
2023-02-27,Aphids,Egg,Wheat,California,Medium
2023-02-27,Armyworms,Pupa,Soybeans,Texas,Low
2023-02-28,Japanese Beetle,Egg,Corn,California,Low
2023-03-02,Corn Rootworm,Adult,Corn,California,Low
2023-03-02,Aphids,Egg,Cotton,California,Medium
2023-03-02,Cutworms,Pupa,Rice,Iowa,Low
2023-03-02,Japanese Beetle,Egg,Cotton,California,High
2023-03-02,Japanese Beetle,Egg,Soybeans,Texas,Low
2023-03-02,Aphids,Adult,Corn,Illinois,Medium
2023-03-02,Aphids,Pupa,Cotton,Texas,Medium
2023-03-03,Aphids,Egg,Cotton,Iowa,High
2023-03-03,Corn Rootworm,Pupa,Corn,California,High
2023-03-03,Cutworms,Egg,Corn,California,Low
2023-03-05,Japanese Beetle,Larva,Wheat,Iowa,Low
2023-03-05,Japanese Beetle,Larva,Wheat,Texas,High
2023-03-05,Aphids,Larva,Cotton,California,Medium
2023-03-05,Japanese Beetle,Egg,Cotton,Texas,Medium
2023-03-05,Aphids,Pupa,Corn,Iowa,Low
2023-03-05,Cutworms,Adult,Rice,Texas,High
2023-03-06,Armyworms,Adult,Wheat,Illinois,High
2023-03-06,Cutworms,Adult,Corn,Iowa,High
2023-03-07,Corn Rootworm,Egg,Soybeans,California,Low
2023-03-07,Aphids,Larva,Wheat,Iowa,Medium
2023-03-07,Cutworms,Adult,Wheat,California,Medium
2023-03-08,Aphids,Pupa,Corn,Nebraska,Low
2023-03-08,Japanese Beetle,Pupa,Cotton,Illinois,Medium
2023-03-08,Armyworms,Egg,Wheat,Illinois,Medium
2023-03-08,Cutworms,Pupa,Corn,Texas,Medium
2023-03-08,Japanese Beetle,Pupa,Wheat,Texas,Low
2023-03-08,Japanese Beetle,Egg,Soybeans,California,High
2023-03-09,Japanese Beetle,Pupa,Wheat,Illinois,Medium
2023-03-09,Armyworms,Adult,Soybeans,Illinois,Medium
2023-03-10,Aphids,Larva,Cotton,Texas,High
2023-03-10,Japanese Beetle,Egg,Soybeans,Nebraska,High
2023-03-11,Armyworms,Egg,Corn,Iowa,Medium
2023-03-11,Cutworms,Egg,Wheat,California,Medium
2023-03-12,Aphids,Egg,Soybeans,Texas,Medium
2023-03-12,Aphids,Egg,Cotton,Texas,Medium
2023-03-12,Corn Rootworm,Egg,Cotton,Texas,High
2023-03-13,Aphids,Pupa,Cotton,Iowa,High
2023-03-13,Cutworms,Adult,Wheat,Illinois,High
2023-03-13,Corn Rootworm,Pupa,Rice,Iowa,High
2023-03-13,Japanese Beetle,Larva,Cotton,Illinois,Medium
2023-03-14,Corn Rootworm,Pupa,Wheat,Iowa,High
2023-03-15,Japanese Beetle,Pupa,Rice,Texas,Medium
2023-03-15,Aphids,Pupa,Corn,California,Low
2023-03-15,Armyworms,Adult,Cotton,Nebraska,Low
2023-03-15,Aphids,Egg,Cotton,Nebraska,Medium
2023-03-15,Armyworms,Pupa,Wheat,Nebraska,Medium
2023-03-16,Aphids,Pupa,Wheat,Texas,High
2023-03-17,Corn Rootworm,Pupa,Soybeans,Illinois,Medium
2023-03-18,Cutworms,Adult,Corn,Nebraska,Medium
2023-03-19,Armyworms,Larva,Corn,Nebraska,High
2023-03-19,Cutworms,Egg,Rice,Iowa,High
2023-03-19,Aphids,Pupa,Corn,California,Medium
2023-03-19,Corn Rootworm,Larva,Corn,Iowa,Low
2023-03-19,Cutworms,Pupa,Soybeans,Iowa,Medium
2023-03-20,Cutworms,Adult,Rice,California,Medium
2023-03-20,Japanese Beetle,Adult,Soybeans,Iowa,Low
2023-03-21,Cutworms,Adult,Corn,California,Low
2023-03-21,Corn Rootworm,Egg,Soybeans,California,Low
2023-03-21,Armyworms,Larva,Wheat,Illinois,High
2023-03-22,Corn Rootworm,Adult,Rice,Texas,Low
2023-03-22,Aphids,Pupa,Cotton,California,High
2023-03-23,Cutworms,Pupa,Wheat,Nebraska,High
2023-03-23,Corn Rootworm,Larva,Wheat,Iowa,Medium
2023-03-23,Armyworms,Egg,Soybeans,Nebraska,High
2023-03-23,Armyworms,Pupa,Corn,California,Medium
2023-03-23,Aphids,Larva,Corn,Texas,High
2023-03-23,Japanese Beetle,Egg,Wheat,Illinois,Low
2023-03-24,Japanese Beetle,Adult,Cotton,California,Low
2023-03-24,Japanese Beetle,Larva,Soybeans,Iowa,Low
2023-03-24,Armyworms,Egg,Corn,Illinois,Low
2023-03-24,Armyworms,Adult,Cotton,Illinois,Low
2023-03-25,Aphids,Pupa,Rice,Texas,Low
2023-03-25,Corn Rootworm,Larva,Rice,Nebraska,Low
2023-03-25,Aphids,Larva,Corn,Iowa,Low
2023-03-26,Japanese Beetle,Adult,Corn,Texas,High
2023-03-26,Corn Rootworm,Pupa,Soybeans,Iowa,Medium
2023-03-26,Corn Rootworm,Egg,Rice,Texas,Low
2023-03-26,Cutworms,Larva,Wheat,Texas,Medium
2023-03-27,Cutworms,Adult,Rice,Nebraska,High
2023-03-27,Aphids,Larva,Cotton,Iowa,High
2023-03-27,Corn Rootworm,Egg,Corn,California,Medium
2023-03-27,Cutworms,Egg,Rice,Nebraska,Medium
2023-03-28,Armyworms,Pupa,Corn,Nebraska,High
2023-03-28,Cutworms,Larva,Rice,California,Low
2023-03-28,Armyworms,Adult,Rice,California,High
2023-03-29,Cutworms,Larva,Cotton,Iowa,Low
2023-03-29,Cutworms,Adult,Corn,Iowa,High
2023-03-30,Aphids,Adult,Corn,Texas,High
2023-03-30,Armyworms,Adult,Wheat,Iowa,Low
2023-03-30,Armyworms,Pupa,Soybeans,Nebraska,Medium
2023-03-31,Armyworms,Egg,Corn,Texas,Low
2023-03-31,Armyworms,Pupa,Wheat,Texas,High
2023-04-01,Japanese Beetle,Larva,Soybeans,Illinois,High
2023-04-01,Armyworms,Adult,Wheat,Iowa,Low
2023-04-01,Corn Rootworm,Pupa,Cotton,Illinois,Medium
2023-04-01,Aphids,Adult,Soybeans,Illinois,High
2023-04-01,Armyworms,Egg,Wheat,Iowa,Low
2023-04-02,Cutworms,Egg,Rice,Nebraska,Medium
2023-04-02,Cutworms,Pupa,Soybeans,Texas,High
2023-04-02,Cutworms,Egg,Cotton,Iowa,Low
2023-04-03,Cutworms,Larva,Wheat,Illinois,Medium
2023-04-03,Armyworms,Larva,Wheat,Illinois,High
2023-04-03,Armyworms,Egg,Corn,California,Medium
2023-04-03,Cutworms,Larva,Wheat,Illinois,Medium
2023-04-04,Japanese Beetle,Pupa,Corn,California,Low
2023-04-04,Aphids,Larva,Rice,Illinois,Low
2023-04-04,Cutworms,Pupa,Cotton,Iowa,Medium
2023-04-04,Japanese Beetle,Larva,Soybeans,Iowa,Low
2023-04-04,Cutworms,Larva,Wheat,Nebraska,Low
2023-04-05,Armyworms,Egg,Rice,Texas,Medium
2023-04-05,Cutworms,Egg,Soybeans,Illinois,Low
2023-04-05,Armyworms,Egg,Soybeans,Iowa,Medium
2023-04-05,Armyworms,Larva,Corn,Iowa,Low
2023-04-05,Cutworms,Pupa,Rice,Iowa,Medium
2023-04-06,Aphids,Pupa,Soybeans,Texas,Medium
2023-04-06,Aphids,Pupa,Rice,Nebraska,High
2023-04-06,Aphids,Adult,Corn,Illinois,Medium
2023-04-07,Corn Rootworm,Adult,Soybeans,Iowa,Medium
2023-04-08,Corn Rootworm,Larva,Wheat,Iowa,High
2023-04-08,Aphids,Pupa,Cotton,Texas,High
2023-04-08,Cutworms,Adult,Cotton,Iowa,Low
2023-04-08,Armyworms,Larva,Soybeans,Illinois,Low
2023-04-08,Aphids,Pupa,Corn,Illinois,Medium
2023-04-08,Corn Rootworm,Larva,Wheat,Illinois,Medium
2023-04-08,Corn Rootworm,Adult,Wheat,Nebraska,Low
2023-04-09,Cutworms,Egg,Rice,Illinois,Low
2023-04-09,Corn Rootworm,Larva,Cotton,Nebraska,Medium
2023-04-10,Aphids,Egg,Soybeans,Iowa,High
2023-04-10,Japanese Beetle,Pupa,Corn,Illinois,Medium
2023-04-11,Japanese Beetle,Larva,Rice,Iowa,Low
2023-04-11,Japanese Beetle,Egg,Wheat,Nebraska,High
2023-04-12,Aphids,Adult,Cotton,Texas,High
2023-04-12,Armyworms,Egg,Cotton,Illinois,Medium
2023-04-13,Corn Rootworm,Larva,Rice,California,Low
2023-04-13,Aphids,Larva,Soybeans,Illinois,High
2023-04-13,Japanese Beetle,Pupa,Cotton,Texas,Medium
2023-04-13,Armyworms,Pupa,Wheat,Illinois,Low
2023-04-13,Aphids,Egg,Rice,Texas,Low
2023-04-13,Aphids,Larva,Soybeans,Nebraska,High
2023-04-14,Aphids,Larva,Corn,Iowa,Low
2023-04-14,Japanese Beetle,Larva,Soybeans,Illinois,Medium
2023-04-14,Armyworms,Pupa,Rice,Illinois,High
2023-04-14,Cutworms,Larva,Soybeans,Illinois,Low
2023-04-15,Japanese Beetle,Adult,Corn,Nebraska,Medium
2023-04-15,Cutworms,Egg,Soybeans,Nebraska,High
2023-04-15,Aphids,Larva,Cotton,Iowa,Low
2023-04-16,Aphids,Egg,Soybeans,Texas,High
2023-04-16,Cutworms,Pupa,Cotton,Illinois,Medium
2023-04-16,Cutworms,Pupa,Wheat,California,High
2023-04-17,Japanese Beetle,Adult,Soybeans,Iowa,Low
2023-04-17,Armyworms,Egg,Rice,Illinois,Low
2023-04-17,Armyworms,Egg,Wheat,Illinois,Medium
2023-04-17,Cutworms,Larva,Cotton,California,Low
2023-04-17,Japanese Beetle,Adult,Corn,Nebraska,High
2023-04-18,Aphids,Egg,Cotton,Illinois,Low
2023-04-18,Aphids,Egg,Wheat,Texas,Medium
2023-04-19,Aphids,Adult,Soybeans,Iowa,Low
2023-04-19,Corn Rootworm,Adult,Corn,Texas,Low
2023-04-19,Aphids,Adult,Cotton,Nebraska,Medium
2023-04-19,Armyworms,Adult,Corn,Nebraska,High
2023-04-19,Japanese Beetle,Larva,Soybeans,Texas,Low
2023-04-20,Armyworms,Larva,Wheat,Texas,Low
2023-04-20,Armyworms,Egg,Soybeans,Illinois,Low
2023-04-20,Corn Rootworm,Adult,Cotton,Illinois,Medium
2023-04-20,Japanese Beetle,Adult,Rice,Texas,Low
2023-04-20,Cutworms,Adult,Cotton,Iowa,High
2023-04-21,Aphids,Pupa,Wheat,Nebraska,High
2023-04-21,Japanese Beetle,Adult,Cotton,Texas,Medium
2023-04-21,Japanese Beetle,Pupa,Corn,Nebraska,Medium
2023-04-21,Aphids,Adult,Soybeans,California,Low
2023-04-21,Armyworms,Larva,Corn,Texas,Medium
2023-04-22,Corn Rootworm,Pupa,Wheat,California,Medium
2023-04-22,Aphids,Adult,Rice,Texas,Medium
2023-04-22,Armyworms,Adult,Rice,Illinois,High
2023-04-23,Armyworms,Adult,Soybeans,Nebraska,Low
2023-04-23,Japanese Beetle,Adult,Rice,Texas,Medium
2023-04-23,Armyworms,Larva,Soybeans,Iowa,Medium
2023-04-24,Aphids,Pupa,Rice,California,Medium
2023-04-25,Aphids,Pupa,Cotton,Nebraska,Low
2023-04-25,Armyworms,Larva,Wheat,California,Medium
2023-04-26,Aphids,Adult,Corn,Illinois,Medium
2023-04-26,Japanese Beetle,Adult,Rice,California,High
2023-04-27,Japanese Beetle,Egg,Corn,Texas,Medium
2023-04-27,Armyworms,Egg,Soybeans,Iowa,Low
2023-04-27,Aphids,Larva,Soybeans,Texas,High
2023-04-28,Cutworms,Larva,Soybeans,Iowa,High
2023-04-28,Corn Rootworm,Pupa,Corn,Illinois,Low
2023-04-28,Cutworms,Larva,Cotton,Nebraska,High
2023-04-29,Aphids,Larva,Corn,Iowa,Medium
2023-04-29,Cutworms,Larva,Corn,Illinois,High
2023-04-29,Japanese Beetle,Adult,Corn,Iowa,Medium
2023-04-29,Aphids,Adult,Rice,Illinois,Medium
2023-04-30,Cutworms,Egg,Cotton,Illinois,Low
2023-04-30,Cutworms,Egg,Rice,Illinois,Low
2023-05-01,Armyworms,Adult,Corn,California,Medium
2023-05-01,Corn Rootworm,Adult,Rice,Illinois,Medium
2023-05-02,Aphids,Larva,Corn,Iowa,High
2023-05-02,Armyworms,Larva,Rice,Nebraska,Low
2023-05-02,Aphids,Pupa,Soybeans,Illinois,Low
2023-05-03,Japanese Beetle,Egg,Soybeans,Nebraska,High
2023-05-03,Aphids,Adult,Rice,California,Low
2023-05-04,Aphids,Egg,Cotton,Illinois,High
2023-05-04,Cutworms,Egg,Cotton,Texas,Low
2023-05-04,Armyworms,Adult,Rice,Nebraska,Low
2023-05-04,Corn Rootworm,Pupa,Rice,Iowa,Low
2023-05-04,Japanese Beetle,Larva,Corn,California,Low
2023-05-05,Aphids,Egg,Corn,Nebraska,Medium
2023-05-05,Armyworms,Larva,Wheat,Illinois,Low
2023-05-07,Aphids,Pupa,Cotton,Illinois,Low
2023-05-07,Japanese Beetle,Egg,Wheat,California,Medium
2023-05-08,Cutworms,Egg,Cotton,Iowa,High
2023-05-08,Japanese Beetle,Pupa,Soybeans,California,High
2023-05-08,Cutworms,Pupa,Cotton,Nebraska,High
2023-05-09,Armyworms,Pupa,Rice,Nebraska,High
2023-05-10,Armyworms,Pupa,Soybeans,Texas,High
2023-05-10,Aphids,Pupa,Soybeans,Iowa,High
2023-05-10,Armyworms,Pupa,Soybeans,California,High
2023-05-10,Aphids,Larva,Wheat,California,Low
2023-05-10,Japanese Beetle,Egg,Soybeans,California,High
2023-05-10,Armyworms,Larva,Wheat,Nebraska,Medium
2023-05-11,Corn Rootworm,Larva,Corn,Iowa,High
2023-05-11,Cutworms,Egg,Corn,Iowa,Low
2023-05-12,Corn Rootworm,Adult,Wheat,Texas,Medium
2023-05-12,Cutworms,Pupa,Soybeans,Illinois,Low
2023-05-13,Aphids,Adult,Cotton,Nebraska,High
2023-05-13,Corn Rootworm,Egg,Rice,Illinois,High
2023-05-13,Aphids,Larva,Wheat,Iowa,Medium
2023-05-13,Japanese Beetle,Adult,Wheat,Iowa,Low
2023-05-13,Cutworms,Adult,Soybeans,Iowa,Low
2023-05-13,Japanese Beetle,Egg,Corn,Iowa,Medium
2023-05-13,Japanese Beetle,Adult,Wheat,Texas,Medium
2023-05-14,Corn Rootworm,Egg,Rice,Nebraska,Medium
2023-05-14,Cutworms,Egg,Rice,Nebraska,Medium
2023-05-14,Armyworms,Adult,Wheat,Texas,Low
2023-05-14,Cutworms,Larva,Cotton,Nebraska,Medium
2023-05-15,Japanese Beetle,Larva,Rice,Nebraska,Low
2023-05-16,Cutworms,Larva,Cotton,Illinois,Low
2023-05-16,Cutworms,Larva,Cotton,Illinois,Medium
2023-05-17,Aphids,Larva,Rice,Texas,Low
2023-05-17,Japanese Beetle,Adult,Soybeans,Iowa,Low
2023-05-17,Japanese Beetle,Egg,Cotton,Nebraska,Medium
2023-05-18,Cutworms,Pupa,Soybeans,Texas,High
2023-05-19,Cutworms,Adult,Corn,Illinois,Low
2023-05-19,Aphids,Pupa,Cotton,Nebraska,High
2023-05-19,Japanese Beetle,Adult,Corn,California,High
2023-05-19,Corn Rootworm,Pupa,Rice,Texas,High
2023-05-19,Cutworms,Pupa,Cotton,California,Medium
2023-05-19,Armyworms,Larva,Corn,California,High
2023-05-20,Aphids,Adult,Soybeans,Iowa,High
2023-05-20,Aphids,Pupa,Wheat,Texas,Low
2023-05-20,Japanese Beetle,Egg,Rice,Texas,Medium
2023-05-20,Cutworms,Pupa,Wheat,Illinois,Medium
2023-05-21,Corn Rootworm,Adult,Soybeans,California,Low
2023-05-21,Cutworms,Pupa,Corn,California,High
2023-05-22,Japanese Beetle,Pupa,Corn,Nebraska,Low
2023-05-23,Japanese Beetle,Pupa,Soybeans,Illinois,High
2023-05-24,Japanese Beetle,Adult,Soybeans,Iowa,High
2023-05-25,Armyworms,Larva,Soybeans,California,High
2023-05-25,Cutworms,Adult,Soybeans,Nebraska,High
2023-05-25,Aphids,Egg,Rice,Iowa,Low
2023-05-25,Corn Rootworm,Egg,Cotton,Iowa,High
2023-05-26,Japanese Beetle,Larva,Wheat,Iowa,Medium
2023-05-28,Cutworms,Egg,Corn,Iowa,Low
2023-05-28,Aphids,Pupa,Cotton,California,Low
2023-05-28,Cutworms,Larva,Cotton,Nebraska,Low
2023-05-29,Armyworms,Larva,Corn,Nebraska,Low
2023-05-29,Armyworms,Larva,Rice,Nebraska,Medium
2023-05-29,Cutworms,Egg,Wheat,Nebraska,Low
2023-05-29,Armyworms,Pupa,Soybeans,Illinois,Medium
2023-05-30,Armyworms,Larva,Corn,Iowa,High
2023-05-30,Aphids,Egg,Rice,Illinois,High
2023-05-30,Cutworms,Pupa,Corn,California,Medium
2023-05-30,Armyworms,Egg,Cotton,California,Low
2023-05-31,Aphids,Adult,Rice,Illinois,Low
2023-06-01,Corn Rootworm,Adult,Wheat,Illinois,Low
2023-06-01,Corn Rootworm,Egg,Corn,Texas,Medium
2023-06-01,Corn Rootworm,Egg,Rice,California,Low
2023-06-02,Aphids,Adult,Corn,Texas,Low
2023-06-03,Cutworms,Adult,Rice,California,Medium
2023-06-03,Japanese Beetle,Larva,Rice,Texas,Low
2023-06-03,Corn Rootworm,Adult,Cotton,Illinois,High
2023-06-03,Corn Rootworm,Egg,Cotton,Nebraska,Low
2023-06-04,Cutworms,Larva,Soybeans,Illinois,Medium
2023-06-04,Corn Rootworm,Pupa,Corn,Nebraska,Low
2023-06-04,Corn Rootworm,Larva,Corn,Illinois,Low
2023-06-05,Japanese Beetle,Egg,Soybeans,Iowa,Low
2023-06-06,Cutworms,Egg,Wheat,Nebraska,Medium
2023-06-07,Armyworms,Adult,Soybeans,Iowa,High
2023-06-08,Corn Rootworm,Egg,Soybeans,Texas,Medium
2023-06-08,Cutworms,Pupa,Corn,Texas,High
2023-06-09,Aphids,Pupa,Corn,Nebraska,Low
2023-06-11,Aphids,Adult,Wheat,California,High
2023-06-11,Japanese Beetle,Egg,Cotton,Iowa,High
2023-06-11,Corn Rootworm,Egg,Soybeans,Illinois,High
2023-06-12,Armyworms,Adult,Corn,Iowa,Medium
2023-06-13,Aphids,Pupa,Soybeans,Iowa,High
2023-06-14,Armyworms,Pupa,Wheat,Iowa,Medium
2023-06-15,Aphids,Pupa,Corn,Texas,Medium
2023-06-15,Corn Rootworm,Pupa,Cotton,Nebraska,High
2023-06-15,Cutworms,Egg,Cotton,Iowa,Low
2023-06-15,Corn Rootworm,Larva,Soybeans,California,Low
2023-06-18,Aphids,Larva,Wheat,Nebraska,High
2023-06-18,Corn Rootworm,Egg,Rice,Nebraska,Low
2023-06-18,Japanese Beetle,Adult,Soybeans,California,Low
2023-06-19,Corn Rootworm,Larva,Soybeans,California,Low
2023-06-19,Armyworms,Adult,Wheat,Nebraska,Low
