Date,Temperature,Humidity,Rainfall,Wind_Speed,Location,Drought,Month_weather,Season_weather,pH,Nitrogen,Phosphorus,Potassium,Moisture,Month_soil,Season_soil,Soil_Moisture_Category,Weather_Soil_Combination,Month,State,Pest,Month_pest
2023-03-03,33.702093831594475,65.20642968514538,12.426985094735423,4.596496260612697,California,0,3,Winter,7.479489131378946,52.885242959530345,64.4725945369406,245.51868943409767,19.233504996313016,3,Winter,Very Dry,Very Dry_Hot,3,California,Corn Rootworm,3
2023-03-03,33.702093831594475,65.20642968514538,12.426985094735423,4.596496260612697,California,0,3,Winter,7.479489131378946,52.885242959530345,64.4725945369406,245.51868943409767,19.233504996313016,3,Winter,Very Dry,Very Dry_Hot,3,California,Cutworms,3
2023-03-05,30.28606694366029,84.97923515966927,2.754133271041259,11.58974117406654,California,0,3,Winter,6.785836610782162,22.00011165197622,10.941842610097051,23.579873123635487,21.41231383165983,3,Winter,Dry,Dry_Hot,3,California,Aphids,3
2023-03-07,11.61591202890018,53.487794264056646,2.4216477041007605,16.676614288989608,California,0,3,Winter,6.425811965720763,14.61248498152652,27.43936504221005,119.36835582228808,14.586079245186538,3,Winter,Very Dry,Very Dry_Cool,3,California,Corn Rootworm,3
2023-03-07,11.61591202890018,53.487794264056646,2.4216477041007605,16.676614288989608,California,0,3,Winter,6.425811965720763,14.61248498152652,27.43936504221005,119.36835582228808,14.586079245186538,3,Winter,Very Dry,Very Dry_Cool,3,California,Cutworms,3
2023-03-08,29.805175510377417,50.20782856718631,15.90105296941439,14.378581495679915,California,0,3,Winter,6.298317384845793,83.7715174890148,83.16703452453993,37.015002624367646,19.01354334669993,3,Winter,Very Dry,Very Dry_Hot,3,California,Japanese Beetle,3
2023-03-11,11.899975138593124,47.38429590636599,0.3434251127895278,17.73042215099723,California,0,3,Winter,6.600474440918784,55.00009132434973,35.92316418996428,109.53249714471636,38.429301479072464,3,Winter,Dry,Dry_Cool,3,California,Cutworms,3
2023-03-15,24.97088337815829,60.54657215448918,10.88269641441418,10.948857807419364,California,0,3,Winter,6.170911147077812,16.711175476273922,35.68020697714971,49.817650035646096,35.402855886067854,3,Winter,Dry,Dry_Cool,3,California,Aphids,3
2023-03-19,11.95093172091637,40.77802888987312,0.3269260418126732,7.490284682865149,California,0,3,Winter,5.659220241907687,22.145481080343043,61.76866061355361,281.96686451281136,31.1937019198018,3,Winter,Dry,Dry_Cool,3,California,Aphids,3
2023-03-20,34.316833776105646,64.3025189136138,0.1455650086141201,12.674171555131847,California,0,3,Winter,5.813354453811034,13.994391789531878,83.54718502852532,104.00151317795331,37.653347478266575,3,Winter,Dry,Dry_Hot,3,California,Cutworms,3
2023-03-21,13.950074432722031,85.51214081871473,3.632560861494593,6.273143699662674,California,0,3,Winter,7.2500975222625135,18.82129465425013,33.00675117942703,171.51551863518137,33.48316600665005,3,Winter,Dry,Dry_Cool,3,California,Cutworms,3
2023-03-21,13.950074432722031,85.51214081871473,3.632560861494593,6.273143699662674,California,0,3,Winter,7.2500975222625135,18.82129465425013,33.00675117942703,171.51551863518137,33.48316600665005,3,Winter,Dry,Dry_Cool,3,California,Corn Rootworm,3
2023-03-22,32.984526697692175,57.61777122835809,2.2416220700792358,8.70491068494935,California,0,3,Winter,7.028177894469327,4.36392926369763,27.111108110842075,18.39884699446885,30.04562594218871,3,Winter,Dry,Dry_Hot,3,California,Aphids,3
2023-03-23,10.861892086288996,64.59982408549848,6.004063698571894,8.427150734707332,California,0,3,Winter,5.72977676389225,79.33990007855759,28.97440744833701,106.59006082508364,23.158384294309464,3,Winter,Dry,Dry_Cool,3,California,Armyworms,3
2023-03-24,10.02099379975352,67.623141390115,5.104829169856973,18.19418693161037,California,0,3,Winter,6.735099752520817,70.05021312182127,4.43752770305943,58.05731356652106,29.605658594418827,3,Winter,Dry,Dry_Cool,3,California,Japanese Beetle,3
2023-03-27,23.20614236888754,61.34307856980925,0.8848766576478566,14.193425651912577,California,0,3,Winter,5.573253246855309,58.34524927519084,49.38001504431392,155.3999526559831,31.14104576362293,3,Winter,Dry,Dry_Cool,3,California,Corn Rootworm,3
2023-03-28,34.341057351354195,66.07629765815125,0.1304943208794532,1.8957346635213932,California,0,3,Winter,6.244853677257501,61.08693570140801,32.3835474504775,207.0393584908979,27.09719326183524,3,Winter,Dry,Dry_Hot,3,California,Cutworms,3
2023-03-28,34.341057351354195,66.07629765815125,0.1304943208794532,1.8957346635213932,California,0,3,Winter,6.244853677257501,61.08693570140801,32.3835474504775,207.0393584908979,27.09719326183524,3,Winter,Dry,Dry_Hot,3,California,Armyworms,3
2023-04-03,31.971304833837745,65.92635401515895,3.6123408236068784,10.153626742647536,California,0,4,Spring,6.385508560402515,89.97624763754777,74.24917814118577,196.9537142688566,12.536822586822929,4,Spring,Very Dry,Very Dry_Hot,4,California,Armyworms,4
2023-04-04,26.765508725636945,83.0048777883342,8.20223738106446,9.417713464933865,California,0,4,Spring,6.6488467432013625,53.75276327862216,74.89958088711491,261.58306525628296,36.454194400533446,4,Spring,Dry,Dry_Hot,4,California,Japanese Beetle,4
2023-04-13,10.732000830396876,32.8670569288604,3.623277033310205,16.519166898518588,California,0,4,Spring,6.519834885869564,68.96210069578325,9.267372551486975,210.866138971541,12.197149238442185,4,Spring,Very Dry,Very Dry_Cool,4,California,Corn Rootworm,4
2023-04-16,29.518328769057163,48.38348347744712,2.2121683055082983,1.8169496449195852,California,0,4,Spring,5.837426990487892,78.59965047278635,98.6941661189944,125.55150884741477,12.021365871615036,4,Spring,Very Dry,Very Dry_Hot,4,California,Cutworms,4
2023-04-17,14.541849385126298,32.25030626068278,10.648223213741732,0.517415444329623,California,0,4,Spring,6.241574502714642,81.96067587872452,89.98127868159087,47.66407172662521,20.46378176680509,4,Spring,Dry,Dry_Cool,4,California,Cutworms,4
2023-04-21,21.560724578250344,64.57431083426982,4.153731496797215,13.11184677042139,California,0,4,Spring,5.946091219424305,80.28122517473525,65.77783020133886,203.37522048853836,30.7921966264547,4,Spring,Dry,Dry_Cool,4,California,Aphids,4
2023-04-22,28.378868182959984,65.04312786857864,3.733848804882396,0.5900085211774697,California,0,4,Spring,5.763825379379098,52.82979602392008,21.33666392571071,236.1856388474661,30.792251800597622,4,Spring,Dry,Dry_Hot,4,California,Corn Rootworm,4
2023-04-24,26.581106081080037,37.02628252925461,5.31356649896877,0.8738565621467131,California,0,4,Spring,7.423064726929501,80.25516343258214,16.535611495331725,198.3592016197823,37.272881600461886,4,Spring,Dry,Dry_Hot,4,California,Aphids,4
2023-04-25,30.78430571629479,32.6878308714755,4.404392253275663,16.648176320695608,California,0,4,Spring,5.81697541566275,90.39314976736117,52.5663047778122,233.84471089144336,10.503205300506933,4,Spring,Very Dry,Very Dry_Hot,4,California,Armyworms,4
2023-04-26,27.103115445863107,43.55070816483398,2.4742188913816485,4.171284990192994,California,0,4,Spring,6.773202043699975,18.71145851247621,59.94154795425791,111.88562458412947,33.89556744788798,4,Spring,Dry,Dry_Hot,4,California,Japanese Beetle,4
2023-05-01,20.6764286607268,89.94927182399951,0.1925446429450655,16.150651368986026,California,0,5,Spring,5.839207293215985,52.99901919389628,18.44775812241044,228.9947426442525,23.26896560824977,5,Spring,Dry,Dry_Cool,5,California,Armyworms,5
2023-05-03,11.646413051556678,71.71741462691142,5.41857797163787,5.33447407458902,California,0,5,Spring,5.645314829657206,34.16857597816328,88.70818712781694,296.5294333300301,11.225511253682868,5,Spring,Very Dry,Very Dry_Cool,5,California,Aphids,5
2023-05-04,29.43764180464881,75.46371352504275,2.266381963801415,8.073128420239515,California,0,5,Spring,5.559559632021203,87.48726037150902,64.4174316263846,119.54508663247306,17.54566540649884,5,Spring,Very Dry,Very Dry_Hot,5,California,Japanese Beetle,5
2023-05-07,11.693566552562464,52.08378773189368,4.464648643463633,12.760297507439018,California,0,5,Spring,5.834662729837429,85.18433924338976,49.13716717842958,107.48855784292276,25.14417553266543,5,Spring,Dry,Dry_Cool,5,California,Japanese Beetle,5
2023-05-08,22.87321392099079,44.79217142242885,5.1289727420249855,11.282347150905345,California,0,5,Spring,6.072477804864874,52.55329432353695,91.30791156873282,11.56436036221109,22.670324062913284,5,Spring,Dry,Dry_Cool,5,California,Japanese Beetle,5
2023-05-10,21.094900216959296,39.852106855591146,3.9008588053026063,14.032913648218036,California,0,5,Spring,6.95262513257171,12.3947537565685,34.94506793682025,55.251854332696304,29.80233221124904,5,Spring,Dry,Dry_Cool,5,California,Armyworms,5
2023-05-10,21.094900216959296,39.852106855591146,3.9008588053026063,14.032913648218036,California,0,5,Spring,6.95262513257171,12.3947537565685,34.94506793682025,55.251854332696304,29.80233221124904,5,Spring,Dry,Dry_Cool,5,California,Aphids,5
2023-05-10,21.094900216959296,39.852106855591146,3.9008588053026063,14.032913648218036,California,0,5,Spring,6.95262513257171,12.3947537565685,34.94506793682025,55.251854332696304,29.80233221124904,5,Spring,Dry,Dry_Cool,5,California,Japanese Beetle,5
2023-05-19,16.056879883214926,41.72834936364714,15.936449455359877,10.678412500676464,California,0,5,Spring,6.257718667077721,43.94448615459351,28.3562338049868,263.24906825519463,31.01409593318933,5,Spring,Dry,Dry_Cool,5,California,Japanese Beetle,5
2023-05-19,16.056879883214926,41.72834936364714,15.936449455359877,10.678412500676464,California,0,5,Spring,6.257718667077721,43.94448615459351,28.3562338049868,263.24906825519463,31.01409593318933,5,Spring,Dry,Dry_Cool,5,California,Cutworms,5
2023-05-19,16.056879883214926,41.72834936364714,15.936449455359877,10.678412500676464,California,0,5,Spring,6.257718667077721,43.94448615459351,28.3562338049868,263.24906825519463,31.01409593318933,5,Spring,Dry,Dry_Cool,5,California,Armyworms,5
2023-05-21,32.73776229298126,62.848917794950346,0.8103951658564192,15.244144381500693,California,0,5,Spring,7.029775949797836,93.36308867516226,96.28098363491242,218.295202334134,10.399482082615922,5,Spring,Very Dry,Very Dry_Hot,5,California,Corn Rootworm,5
2023-05-21,32.73776229298126,62.848917794950346,0.8103951658564192,15.244144381500693,California,0,5,Spring,7.029775949797836,93.36308867516226,96.28098363491242,218.295202334134,10.399482082615922,5,Spring,Very Dry,Very Dry_Hot,5,California,Cutworms,5
2023-05-25,28.07828317534835,37.66195125764973,11.968665435770314,1.931249620304334,California,0,5,Spring,5.875252913889868,69.68847855967726,70.55433243922133,206.94717874417944,25.311033187642906,5,Spring,Dry,Dry_Hot,5,California,Armyworms,5
2023-05-28,34.20537815154621,58.69223486385876,3.3410144821393013,10.468357909371068,California,0,5,Spring,5.5473883943130495,49.00795150222352,28.29788378494912,126.1951211439898,22.944574309573284,5,Spring,Dry,Dry_Hot,5,California,Aphids,5
2023-05-30,34.634820692150114,72.76384828069817,9.144057128654271,15.381996430017145,California,0,5,Spring,5.900154881063084,85.35622840728591,70.97748567517475,205.51737501166443,12.6862001424516,5,Spring,Very Dry,Very Dry_Hot,5,California,Cutworms,5
2023-05-30,34.634820692150114,72.76384828069817,9.144057128654271,15.381996430017145,California,0,5,Spring,5.900154881063084,85.35622840728591,70.97748567517475,205.51737501166443,12.6862001424516,5,Spring,Very Dry,Very Dry_Hot,5,California,Armyworms,5
2023-06-01,31.839492462417446,45.97710292939648,7.881721100802782,7.263732388315589,California,0,6,Spring,7.191748796999999,63.873103946631325,41.70803127903858,102.44848892233954,21.513408877047915,6,Spring,Dry,Dry_Hot,6,California,Corn Rootworm,6
2023-06-03,12.98926372862907,81.18033842072995,12.401744631196363,9.899922338623467,California,0,6,Spring,7.298759779245593,74.62161152841689,15.889155757743122,273.0997371521232,18.63621573664069,6,Spring,Very Dry,Very Dry_Cool,6,California,Cutworms,6
2023-06-11,22.185692262530445,69.27363281749268,6.661642953525301,18.874549001422977,California,0,6,Spring,7.116800667165845,15.7722687538559,55.55509564576779,28.10411575436825,37.86825099976652,6,Spring,Dry,Dry_Cool,6,California,Aphids,6
2023-06-15,25.49336825512964,32.726612719953685,3.901862761233685,3.7995184145867062,California,0,6,Spring,6.370261307203414,59.01054131765865,49.778119548181024,67.63770343928475,14.57157206654991,6,Spring,Very Dry,Very Dry_Hot,6,California,Corn Rootworm,6
2023-06-18,24.542621072699404,79.77853649608807,1.6288277404724911,4.562097979648976,California,0,6,Spring,6.746475756485987,51.63694330055755,17.442336965190698,178.43620849169355,37.05462007094161,6,Spring,Dry,Dry_Cool,6,California,Japanese Beetle,6
2023-06-19,21.82378797025881,70.39153265238794,9.733867405288954,3.234312435546647,California,0,6,Spring,6.585281264979973,32.60894095672929,93.64044352532908,167.37347855449738,35.38986592143421,6,Spring,Dry,Dry_Cool,6,California,Corn Rootworm,6
2023-06-19,21.82378797025881,70.39153265238794,9.733867405288954,3.234312435546647,California,0,6,Spring,6.585281264979973,32.60894095672929,93.64044352532908,167.37347855449738,35.38986592143421,6,Spring,Dry,Dry_Cool,6,California,Cutworms,6
2023-06-22,14.335692013797404,31.58676942955552,0.0258382675008151,4.791059552853243,California,0,6,Spring,6.038622871687668,41.94365103009101,56.12022059424725,138.02543657075313,31.014227158473027,6,Spring,Dry,Dry_Cool,6,California,Cutworms,6
2023-06-24,31.89504634524296,45.66594735657046,0.7671589183336036,12.93055940504672,California,0,6,Spring,6.692637917480059,94.5253234403007,30.73747872340148,118.62803190416804,11.10830388920158,6,Spring,Very Dry,Very Dry_Hot,6,California,Armyworms,6
2023-06-26,22.19747552021345,88.18661064880979,8.26330737992951,8.32144705981143,California,0,6,Spring,6.040252651424329,18.26659919084052,3.278378175359331,266.9637756346928,32.99697404536743,6,Spring,Dry,Dry_Cool,6,California,Aphids,6
2023-06-27,25.080601450004785,36.84736586028316,5.156299892509885,4.976286575336255,California,0,6,Spring,6.116050833714213,43.959851841925854,53.1781296163062,201.7852403753601,14.334753112050368,6,Spring,Very Dry,Very Dry_Hot,6,California,Cutworms,6
2023-07-02,26.018169379755072,64.40120164771916,0.7837011213197829,13.428759936129572,California,0,7,Summer,5.548634597544633,26.58723040035705,70.72759798890809,298.50678967110304,19.517942664605066,7,Summer,Very Dry,Very Dry_Hot,7,California,Aphids,7
2023-07-02,26.018169379755072,64.40120164771916,0.7837011213197829,13.428759936129572,California,0,7,Summer,5.548634597544633,26.58723040035705,70.72759798890809,298.50678967110304,19.517942664605066,7,Summer,Very Dry,Very Dry_Hot,7,California,Cutworms,7
2023-07-02,26.018169379755072,64.40120164771916,0.7837011213197829,13.428759936129572,California,0,7,Summer,5.548634597544633,26.58723040035705,70.72759798890809,298.50678967110304,19.517942664605066,7,Summer,Very Dry,Very Dry_Hot,7,California,Aphids,7
2023-07-05,33.576274052446735,57.66819378096139,5.911749115649238,14.869416666511643,California,0,7,Summer,5.842264882576518,14.1773585544683,84.64976236637824,200.57505273479688,39.68944319302409,7,Summer,Dry,Dry_Hot,7,California,Cutworms,7
2023-07-05,33.576274052446735,57.66819378096139,5.911749115649238,14.869416666511643,California,0,7,Summer,5.842264882576518,14.1773585544683,84.64976236637824,200.57505273479688,39.68944319302409,7,Summer,Dry,Dry_Hot,7,California,Corn Rootworm,7
2023-07-06,18.62257346465333,75.5506956305949,3.263456114145526,2.4364380250417206,California,0,7,Summer,5.646109190873295,5.08552532643296,50.56752888412047,130.1031292403917,30.669494443374216,7,Summer,Dry,Dry_Cool,7,California,Japanese Beetle,7
2023-07-06,18.62257346465333,75.5506956305949,3.263456114145526,2.4364380250417206,California,0,7,Summer,5.646109190873295,5.08552532643296,50.56752888412047,130.1031292403917,30.669494443374216,7,Summer,Dry,Dry_Cool,7,California,Cutworms,7
2023-07-09,21.273427379507357,73.10203553421934,4.650031264386102,6.011747729373232,California,0,7,Summer,5.942088920453488,28.695061559917413,62.83745014214822,289.62083330379886,31.76449128546721,7,Summer,Dry,Dry_Cool,7,California,Japanese Beetle,7
2023-07-09,21.273427379507357,73.10203553421934,4.650031264386102,6.011747729373232,California,0,7,Summer,5.942088920453488,28.695061559917413,62.83745014214822,289.62083330379886,31.76449128546721,7,Summer,Dry,Dry_Cool,7,California,Corn Rootworm,7
2023-07-12,25.55349207364665,86.61877078036434,6.9648727529512975,1.5459345333200702,California,0,7,Summer,5.6748538579994925,57.71257561014412,41.91016563236468,235.59815648480503,27.825562124458777,7,Summer,Dry,Dry_Hot,7,California,Japanese Beetle,7
2023-07-14,19.01648908370002,82.32836863047694,9.32376239673562,16.34324698078266,California,0,7,Summer,6.085255884729685,89.28706380508504,96.16724585212614,244.2745974732243,10.756132925091986,7,Summer,Very Dry,Very Dry_Cool,7,California,Aphids,7
2023-07-16,18.113253735373554,89.11555335840106,12.118280708712632,17.83235985417123,California,0,7,Summer,5.741783408052395,81.72497529621143,73.62794030804586,78.17075429695888,21.864354649655304,7,Summer,Dry,Dry_Cool,7,California,Armyworms,7
2023-07-18,26.51967376069673,34.752843253399284,14.9971674323184,19.147242588403177,California,0,7,Summer,6.160802839897532,17.098840150002303,23.2256669583678,128.08544095545386,28.98532806236928,7,Summer,Dry,Dry_Hot,7,California,Cutworms,7
2023-07-23,29.434444901801054,61.72678969674616,10.04562824233675,7.469414094111024,California,0,7,Summer,7.060819430533236,55.229763835282185,78.22191820105077,237.7107338424096,22.13712343541444,7,Summer,Dry,Dry_Hot,7,California,Japanese Beetle,7
2023-07-23,29.434444901801054,61.72678969674616,10.04562824233675,7.469414094111024,California,0,7,Summer,7.060819430533236,55.229763835282185,78.22191820105077,237.7107338424096,22.13712343541444,7,Summer,Dry,Dry_Hot,7,California,Aphids,7
2023-07-24,18.707255379429427,49.86750497890728,6.534990454533034,4.267261924997339,California,0,7,Summer,6.77773289877491,27.201824237922,87.56312849530407,122.18275257297768,10.907863956564755,7,Summer,Very Dry,Very Dry_Cool,7,California,Corn Rootworm,7
2023-07-24,18.707255379429427,49.86750497890728,6.534990454533034,4.267261924997339,California,0,7,Summer,6.77773289877491,27.201824237922,87.56312849530407,122.18275257297768,10.907863956564755,7,Summer,Very Dry,Very Dry_Cool,7,California,Armyworms,7
2023-07-26,21.139648533446262,33.00372474203812,9.281770024535597,5.265600646212802,California,0,7,Summer,5.536609670260192,15.885563421281734,9.97136472255672,141.13620534193495,10.99311830979121,7,Summer,Very Dry,Very Dry_Cool,7,California,Cutworms,7
2023-07-31,28.39600779235049,71.82419604851142,7.286024068176466,6.117990234401514,California,0,7,Summer,5.633663120914162,1.0550460597728573,25.40378417571789,289.6078161360392,10.762458777871451,7,Summer,Very Dry,Very Dry_Hot,7,California,Japanese Beetle,7
2023-08-01,15.061453569479111,44.39166326802415,2.197585281518041,5.936695276839547,California,0,8,Summer,5.851716100759108,69.63114204182129,32.61444379407411,106.36274750965504,18.79180293160509,8,Summer,Very Dry,Very Dry_Cool,8,California,Japanese Beetle,8
2023-08-04,30.309737759563543,60.20000548880368,0.2118413850350041,15.418881208682992,California,0,8,Summer,7.36421586279261,17.040347444658522,6.344191202816374,250.19895607865237,18.35561258452033,8,Summer,Very Dry,Very Dry_Hot,8,California,Japanese Beetle,8
2023-08-05,17.86295053194726,75.00610572000508,2.5339763160335687,18.750495968687986,California,0,8,Summer,7.125132579345636,58.91570864742177,17.392630845757495,257.1621220224821,31.23443565775535,8,Summer,Dry,Dry_Cool,8,California,Aphids,8
2023-08-07,32.87555852094563,53.49053787202789,5.3044193539118005,3.910966756685084,California,0,8,Summer,5.8230151957388285,30.42620352974892,61.77880259948528,247.39091779346097,27.41536802851863,8,Summer,Dry,Dry_Hot,8,California,Cutworms,8
2023-08-10,33.58316459757016,46.50402018985514,0.8794964033081688,4.557805647573776,California,0,8,Summer,6.732149701860204,76.6055547686669,71.45536569492708,263.04190560875304,33.520703192380246,8,Summer,Dry,Dry_Hot,8,California,Japanese Beetle,8
2023-08-11,23.89723725318876,33.524153927328136,0.0462566669342098,0.2228137450390388,California,0,8,Summer,6.937945144252815,92.97512399580896,37.62918355933132,108.28256554792212,37.35432771569437,8,Summer,Dry,Dry_Cool,8,California,Japanese Beetle,8
2023-08-11,23.89723725318876,33.524153927328136,0.0462566669342098,0.2228137450390388,California,0,8,Summer,6.937945144252815,92.97512399580896,37.62918355933132,108.28256554792212,37.35432771569437,8,Summer,Dry,Dry_Cool,8,California,Aphids,8
2023-08-13,17.035156587466616,64.77040411018666,0.4573425694662378,2.010519990625448,California,0,8,Summer,5.626918446412969,50.825194548717,79.21240049572411,251.16244211565115,36.312763344505605,8,Summer,Dry,Dry_Cool,8,California,Corn Rootworm,8
